CustomerID,Count,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Churn Score Category,CLTV Category
2642-DTVCO,1,Yes,1,74,5095,Attitude of service provider,"(70, 80]","(5000, 5500]"
4361-JEIVL,1,Yes,1,82,4067,Attitude of service provider,"(80, 90]","(4000, 4500]"
1363-TXLSL,1,Yes,1,100,4962,Attitude of service provider,"(90, 100]","(4500, 5000]"
9507-EXLTT,1,Yes,1,77,3492,Attitude of support person,"(70, 80]","(3000, 3500]"
9846-GKXAS,1,Yes,1,70,2578,Attitude of support person,"(60, 70]","(2500, 3000]"
6017-PPLPX,1,Yes,1,87,4773,Attitude of support person,"(80, 90]","(4500, 5000]"
7136-RVDTZ,1,Yes,1,97,5824,Attitude of service provider,"(90, 100]","(5500, 6000]"
4581-SSPWD,1,Yes,1,93,5475,Attitude of service provider,"(90, 100]","(5000, 5500]"
6927-WTFIV,1,Yes,1,98,3684,Attitude of service provider,"(90, 100]","(3500, 4000]"
3398-ZOUAA,1,Yes,1,67,3853,Attitude of support person,"(60, 70]","(3500, 4000]"
0378-NHQXU,1,Yes,1,68,4041,Deceased,"(60, 70]","(4000, 4500]"
4512-ZUIYL,1,Yes,1,81,2928,Moved,"(80, 90]","(2500, 3000]"
7969-AULMZ,1,Yes,1,89,4321,Moved,"(80, 90]","(4000, 4500]"
0568-ONFPC,1,Yes,1,83,2102,Moved,"(80, 90]","(2000, 2500]"
0733-VUNUW,1,Yes,1,97,4126,Competitor had better devices,"(90, 100]","(4000, 4500]"
4550-EVXNY,1,Yes,1,77,2418,Competitor offered higher download speeds,"(70, 80]","(2000, 2500]"
2968-SSGAA,1,Yes,1,77,4001,Competitor offered more data,"(70, 80]","(4000, 4500]"
4844-JJWUY,1,Yes,1,82,5359,Competitor made better offer,"(80, 90]","(5000, 5500]"
6777-TGHTM,1,Yes,1,90,5550,Competitor had better devices,"(80, 90]","(5500, 6000]"
3538-WZPHD,1,Yes,1,76,2734,Competitor had better devices,"(70, 80]","(2500, 3000]"
4785-QRJHC,1,Yes,1,80,4011,Competitor offered higher download speeds,"(70, 80]","(4000, 4500]"
8610-WFCJF,1,Yes,1,69,5732,Competitor offered higher download speeds,"(60, 70]","(5500, 6000]"
4905-JEFDW,1,Yes,1,81,3119,Competitor offered higher download speeds,"(80, 90]","(3000, 3500]"
7881-INRLC,1,Yes,1,70,4898,Competitor offered more data,"(60, 70]","(4500, 5000]"
0117-LFRMW,1,Yes,1,80,3627,Competitor offered more data,"(70, 80]","(3500, 4000]"
6172-FECYY,1,Yes,1,85,4639,Competitor offered more data,"(80, 90]","(4500, 5000]"
1965-AKTSX,1,Yes,1,88,5203,Competitor made better offer,"(80, 90]","(5000, 5500]"
4786-UKSNZ,1,Yes,1,99,5418,Competitor made better offer,"(90, 100]","(5000, 5500]"
7248-VZQLC,1,Yes,1,72,4661,Price too high,"(70, 80]","(4500, 5000]"
0011-IGKFF,1,Yes,1,99,3714,Product dissatisfaction,"(90, 100]","(3500, 4000]"
4192-GORJT,1,Yes,1,77,4580,Service dissatisfaction,"(70, 80]","(4500, 5000]"
6496-SLWHQ,1,Yes,1,87,5960,Lack of self-service on Website,"(80, 90]","(5500, 6000]"
9912-GVSEQ,1,Yes,1,86,2591,Network reliability,"(80, 90]","(2500, 3000]"
5383-MMTWC,1,Yes,1,91,4819,Limited range of services,"(90, 100]","(4500, 5000]"
7240-ETPTR,1,Yes,1,97,4359,Lack of affordable download/upload speed,"(90, 100]","(4000, 4500]"
2202-CUYXZ,1,Yes,1,77,3086,Long distance charges,"(70, 80]","(3000, 3500]"
5995-OIGLP,1,Yes,1,90,3043,Extra data charges,"(80, 90]","(3000, 3500]"
6261-RCVNS,1,Yes,1,71,2774,Price too high,"(70, 80]","(2500, 3000]"
7951-QKZPL,1,Yes,1,77,5194,Product dissatisfaction,"(70, 80]","(5000, 5500]"
3640-PHQXK,1,Yes,1,85,2031,Service dissatisfaction,"(80, 90]","(2000, 2500]"
6877-LGWXO,1,Yes,1,84,3521,Lack of self-service on Website,"(80, 90]","(3500, 4000]"
8019-ENHXU,1,Yes,1,96,4624,Network reliability,"(90, 100]","(4500, 5000]"
5167-GBFRE,1,Yes,1,72,4694,Don't know,"(70, 80]","(4500, 5000]"
9033-EOXWV,1,Yes,1,94,4149,Don't know,"(90, 100]","(4000, 4500]"
1324-NLTJE,1,Yes,1,94,3167,Don't know,"(90, 100]","(3000, 3500]"
1522-VVDMG,1,Yes,1,90,3807,Poor expertise of online support,"(80, 90]","(3500, 4000]"
9185-TQCVP,1,Yes,1,100,4550,Poor expertise of phone support,"(90, 100]","(4500, 5000]"
5567-WSELE,1,Yes,1,87,3019,Competitor had better devices,"(80, 90]","(3000, 3500]"
8063-RJYNF,1,Yes,1,73,2827,Competitor offered higher download speeds,"(70, 80]","(2500, 3000]"
0687-ZVTHB,1,Yes,1,68,4415,Competitor offered more data,"(60, 70]","(4000, 4500]"
9661-ACXBS,1,Yes,1,89,2317,Competitor made better offer,"(80, 90]","(2000, 2500]"
3727-RJMEO,1,Yes,1,78,4458,Competitor had better devices,"(70, 80]","(4000, 4500]"
6646-VRFOL,1,Yes,1,87,5860,Competitor had better devices,"(80, 90]","(5500, 6000]"
5685-IIXLY,1,Yes,1,93,4565,Competitor offered higher download speeds,"(90, 100]","(4500, 5000]"
4250-ZBWLV,1,Yes,1,65,4454,Competitor offered higher download speeds,"(60, 70]","(4000, 4500]"
5095-AESKG,1,Yes,1,76,5646,Competitor offered higher download speeds,"(70, 80]","(5500, 6000]"
1871-MOWRM,1,Yes,1,87,4306,Competitor offered more data,"(80, 90]","(4000, 4500]"
2027-OAQQC,1,Yes,1,92,4044,Competitor offered more data,"(90, 100]","(4000, 4500]"
9090-SGQXL,1,Yes,1,79,6284,Competitor offered more data,"(70, 80]","(6000, 6500]"
6595-YGXIT,1,Yes,1,100,3878,Competitor made better offer,"(90, 100]","(3500, 4000]"
9835-ZIITK,1,Yes,1,74,4281,Competitor made better offer,"(70, 80]","(4000, 4500]"
1555-DJEQW,1,Yes,1,73,5947,Price too high,"(70, 80]","(5500, 6000]"
5649-TJHOV,1,Yes,1,93,4564,Product dissatisfaction,"(90, 100]","(4500, 5000]"
0519-XUZJU,1,Yes,1,93,3963,Service dissatisfaction,"(90, 100]","(3500, 4000]"
6338-AVWCY,1,Yes,1,75,4710,Lack of self-service on Website,"(70, 80]","(4500, 5000]"
9253-QXKBE,1,Yes,1,71,2233,Network reliability,"(70, 80]","(2000, 2500]"
9445-SZLCH,1,Yes,1,86,4544,Limited range of services,"(80, 90]","(4500, 5000]"
7568-PODML,1,Yes,1,69,4954,Lack of affordable download/upload speed,"(60, 70]","(4500, 5000]"
5349-IECLD,1,Yes,1,87,4493,Long distance charges,"(80, 90]","(4000, 4500]"
3945-GFWQL,1,Yes,1,89,4162,Extra data charges,"(80, 90]","(4000, 4500]"
3797-VTIDR,1,Yes,1,90,4517,Price too high,"(80, 90]","(4500, 5000]"
9526-BIHHD,1,Yes,1,74,3383,Product dissatisfaction,"(70, 80]","(3000, 3500]"
4523-WXCEF,1,Yes,1,87,4160,Service dissatisfaction,"(80, 90]","(4000, 4500]"
8364-TRMMK,1,Yes,1,76,2876,Lack of self-service on Website,"(70, 80]","(2500, 3000]"
3063-QFSZL,1,Yes,1,70,2294,Network reliability,"(60, 70]","(2000, 2500]"
8775-LHDJH,1,Yes,1,93,2905,Don't know,"(90, 100]","(2500, 3000]"
3097-NQYSN,1,Yes,1,78,5204,Competitor had better devices,"(70, 80]","(5000, 5500]"
3565-UNOCC,1,Yes,1,82,3179,Competitor offered higher download speeds,"(80, 90]","(3000, 3500]"
9249-FXSCK,1,Yes,1,90,4861,Competitor offered more data,"(80, 90]","(4500, 5000]"
5493-SDRDQ,1,Yes,1,70,4235,Competitor made better offer,"(60, 70]","(4000, 4500]"
0871-URUWO,1,Yes,1,66,2003,Competitor had better devices,"(60, 70]","(2000, 2500]"
9190-MFJLN,1,Yes,1,68,2851,Competitor had better devices,"(60, 70]","(2500, 3000]"
1095-JUDTC,1,Yes,1,65,5214,Competitor offered higher download speeds,"(60, 70]","(5000, 5500]"
0870-VEMYL,1,Yes,1,74,5435,Competitor offered higher download speeds,"(70, 80]","(5000, 5500]"
5385-SUIRI,1,Yes,1,68,5648,Competitor offered higher download speeds,"(60, 70]","(5500, 6000]"
3982-XWFZQ,1,Yes,1,97,4873,Competitor offered more data,"(90, 100]","(4500, 5000]"
4009-ALQFH,1,Yes,1,90,5932,Competitor offered more data,"(80, 90]","(5500, 6000]"
3627-FCRDW,1,Yes,1,81,2236,Competitor offered more data,"(80, 90]","(2000, 2500]"
7562-GSUHK,1,Yes,1,75,5497,Competitor made better offer,"(70, 80]","(5000, 5500]"
4903-UYAVB,1,Yes,1,97,3864,Competitor made better offer,"(90, 100]","(3500, 4000]"
6776-TLWOI,1,Yes,1,93,2158,Price too high,"(90, 100]","(2000, 2500]"
4077-CROMM,1,Yes,1,68,5000,Product dissatisfaction,"(60, 70]","(4500, 5000]"
2868-MZAGQ,1,Yes,1,83,5533,Service dissatisfaction,"(80, 90]","(5500, 6000]"
4847-QNOKA,1,Yes,1,76,2632,Lack of self-service on Website,"(70, 80]","(2500, 3000]"
6379-RXJRQ,1,Yes,1,92,2457,Network reliability,"(90, 100]","(2000, 2500]"
8650-RHRKE,1,Yes,1,71,4207,Limited range of services,"(70, 80]","(4000, 4500]"
0475-RIJEP,1,Yes,1,100,5107,Lack of affordable download/upload speed,"(90, 100]","(5000, 5500]"
1260-TTRXI,1,Yes,1,87,5834,Long distance charges,"(80, 90]","(5500, 6000]"
6328-ZPBGN,1,Yes,1,71,4074,Extra data charges,"(70, 80]","(4000, 4500]"
4789-KWMXN,1,Yes,1,97,3344,Price too high,"(90, 100]","(3000, 3500]"
2867-UIMSS,1,Yes,1,85,2734,Product dissatisfaction,"(80, 90]","(2500, 3000]"
8111-RKSPX,1,Yes,1,89,5668,Service dissatisfaction,"(80, 90]","(5500, 6000]"
1585-MQSSU,1,Yes,1,94,5659,Lack of self-service on Website,"(90, 100]","(5500, 6000]"
2856-NNASM,1,Yes,1,73,3802,Network reliability,"(70, 80]","(3500, 4000]"
8559-CIZFV,1,Yes,1,74,5353,Don't know,"(70, 80]","(5000, 5500]"
7547-EKNFS,1,Yes,1,89,2075,Attitude of service provider,"(80, 90]","(2000, 2500]"
6769-DYBQN,1,Yes,1,71,2097,Attitude of support person,"(70, 80]","(2000, 2500]"
4439-JMPMT,1,Yes,1,71,3608,Attitude of support person,"(70, 80]","(3500, 4000]"
2446-BEGGB,1,Yes,1,83,3330,Attitude of support person,"(80, 90]","(3000, 3500]"
1496-GGSUK,1,Yes,1,83,4095,Attitude of service provider,"(80, 90]","(4000, 4500]"
2575-GFSOE,1,Yes,1,65,5672,Attitude of service provider,"(60, 70]","(5500, 6000]"
2842-JTCCU,1,Yes,1,72,4662,Attitude of service provider,"(70, 80]","(4500, 5000]"
3296-SILRA,1,Yes,1,89,2426,Attitude of support person,"(80, 90]","(2000, 2500]"
9681-OXGVC,1,Yes,1,85,5180,Competitor made better offer,"(80, 90]","(5000, 5500]"
5180-UCIIQ,1,Yes,1,75,2061,Moved,"(70, 80]","(2000, 2500]"
7153-OANIO,1,Yes,1,79,5066,Moved,"(70, 80]","(5000, 5500]"
6521-YYTYI,1,Yes,1,65,2578,Moved,"(60, 70]","(2500, 3000]"
8878-HMWBV,1,Yes,1,68,5598,Competitor had better devices,"(60, 70]","(5500, 6000]"
3751-KTZEL,1,Yes,1,89,3706,Competitor offered higher download speeds,"(80, 90]","(3500, 4000]"
1977-STDKI,1,Yes,1,76,4116,Competitor offered more data,"(70, 80]","(4000, 4500]"
5813-UECBU,1,Yes,1,79,2583,Competitor made better offer,"(70, 80]","(2500, 3000]"
0328-GRPMV,1,Yes,1,84,3706,Competitor had better devices,"(80, 90]","(3500, 4000]"
4342-HENTK,1,Yes,1,74,2189,Competitor had better devices,"(70, 80]","(2000, 2500]"
4195-SMMNX,1,Yes,1,65,5627,Competitor offered higher download speeds,"(60, 70]","(5500, 6000]"
6956-SMUCM,1,Yes,1,77,5236,Competitor offered higher download speeds,"(70, 80]","(5000, 5500]"
3223-WZWJM,1,Yes,1,85,5869,Competitor offered higher download speeds,"(80, 90]","(5500, 6000]"
9053-JZFKV,1,Yes,1,82,4495,Don't know,"(80, 90]","(4000, 4500]"
2530-ENDWQ,1,Yes,1,100,4296,Competitor offered more data,"(90, 100]","(4000, 4500]"
6615-ZGEDR,1,Yes,1,90,5707,Competitor offered more data,"(80, 90]","(5500, 6000]"
9250-WYPLL,1,Yes,1,79,4600,Competitor made better offer,"(70, 80]","(4500, 5000]"
2754-XBHTB,1,Yes,1,96,3847,Competitor made better offer,"(90, 100]","(3500, 4000]"
1597-LHYNC,1,Yes,1,90,4232,Price too high,"(80, 90]","(4000, 4500]"
7055-VKGDA,1,Yes,1,87,4406,Product dissatisfaction,"(80, 90]","(4000, 4500]"
0754-UKWQP,1,Yes,1,66,3790,Service dissatisfaction,"(60, 70]","(3500, 4000]"
7493-TPUWZ,1,Yes,1,85,4243,Lack of self-service on Website,"(80, 90]","(4000, 4500]"
1577-HKTFG,1,Yes,1,79,2486,Network reliability,"(70, 80]","(2000, 2500]"
8752-STIVR,1,Yes,1,69,2085,Limited range of services,"(60, 70]","(2000, 2500]"
4558-FANTW,1,Yes,1,89,5643,Lack of affordable download/upload speed,"(80, 90]","(5500, 6000]"
8651-ENBZX,1,Yes,1,78,5507,Long distance charges,"(70, 80]","(5500, 6000]"
7623-TRNQN,1,Yes,1,72,3113,Extra data charges,"(70, 80]","(3000, 3500]"
9330-IJWIO,1,Yes,1,69,2008,Price too high,"(60, 70]","(2000, 2500]"
9286-DOJGF,1,Yes,1,82,5165,Product dissatisfaction,"(80, 90]","(5000, 5500]"
9661-MHUMO,1,Yes,1,84,4478,Service dissatisfaction,"(80, 90]","(4000, 4500]"
1842-EZJMK,1,Yes,1,82,5897,Lack of self-service on Website,"(80, 90]","(5500, 6000]"
8079-XRJRS,1,Yes,1,72,6110,Network reliability,"(70, 80]","(6000, 6500]"
8073-IJDCM,1,Yes,1,67,3830,Don't know,"(60, 70]","(3500, 4000]"
8884-ADFVN,1,Yes,1,74,2016,Don't know,"(70, 80]","(2000, 2500]"
2720-WGKHP,1,Yes,1,93,5569,Don't know,"(90, 100]","(5500, 6000]"
2869-ADAWR,1,Yes,1,97,4880,Poor expertise of online support,"(90, 100]","(4500, 5000]"
9894-EZEWG,1,Yes,1,69,5996,Poor expertise of phone support,"(60, 70]","(5500, 6000]"
7851-FLGGQ,1,Yes,1,66,3704,Competitor had better devices,"(60, 70]","(3500, 4000]"
0637-UBJRP,1,Yes,1,77,4745,Competitor offered higher download speeds,"(70, 80]","(4500, 5000]"
0940-OUQEC,1,Yes,1,77,3492,Competitor offered more data,"(70, 80]","(3000, 3500]"
0702-PGIBZ,1,Yes,1,91,2777,Competitor made better offer,"(90, 100]","(2500, 3000]"
1963-VAUKV,1,Yes,1,92,3663,Don't know,"(90, 100]","(3500, 4000]"
3058-HJCUY,1,Yes,1,84,2098,Competitor had better devices,"(80, 90]","(2000, 2500]"
3259-FDWOY,1,Yes,1,81,4072,Competitor offered higher download speeds,"(80, 90]","(4000, 4500]"
0807-ZABDG,1,Yes,1,97,4412,Competitor offered higher download speeds,"(90, 100]","(4000, 4500]"
5748-RNCJT,1,Yes,1,81,4859,Competitor offered higher download speeds,"(80, 90]","(4500, 5000]"
7739-LAXOG,1,Yes,1,80,3590,Competitor offered more data,"(70, 80]","(3500, 4000]"
9776-CLUJA,1,Yes,1,96,5748,Competitor offered more data,"(90, 100]","(5500, 6000]"
6034-ZRYCV,1,Yes,1,66,4481,Competitor offered more data,"(60, 70]","(4000, 4500]"
2079-FBMZK,1,Yes,1,77,5816,Competitor made better offer,"(70, 80]","(5500, 6000]"
6608-QQLVK,1,Yes,1,83,2077,Competitor made better offer,"(80, 90]","(2000, 2500]"
3551-HUAZH,1,Yes,1,89,3429,Price too high,"(80, 90]","(3000, 3500]"
6302-JGYRJ,1,Yes,1,67,2872,Product dissatisfaction,"(60, 70]","(2500, 3000]"
3685-YLCMQ,1,Yes,1,66,5411,Service dissatisfaction,"(60, 70]","(5000, 5500]"
8634-MPHTR,1,Yes,1,91,5166,Lack of self-service on Website,"(90, 100]","(5000, 5500]"
8761-NSOBC,1,Yes,1,81,3486,Network reliability,"(80, 90]","(3000, 3500]"
8413-VONUO,1,Yes,1,82,5332,Limited range of services,"(80, 90]","(5000, 5500]"
9223-UCPVT,1,Yes,1,77,5764,Lack of affordable download/upload speed,"(70, 80]","(5500, 6000]"
4351-QLCSU,1,Yes,1,98,3809,Long distance charges,"(90, 100]","(3500, 4000]"
5419-JPRRN,1,Yes,1,77,4390,Extra data charges,"(70, 80]","(4000, 4500]"
2100-BDNSN,1,Yes,1,69,3889,Price too high,"(60, 70]","(3500, 4000]"
0488-GSLFR,1,Yes,1,91,3365,Product dissatisfaction,"(90, 100]","(3000, 3500]"
9318-NKNFC,1,Yes,1,90,4132,Service dissatisfaction,"(80, 90]","(4000, 4500]"
9728-FTTVZ,1,Yes,1,82,4073,Lack of self-service on Website,"(80, 90]","(4000, 4500]"
7254-IQWOZ,1,Yes,1,67,5258,Network reliability,"(60, 70]","(5000, 5500]"
2474-BRUCM,1,Yes,1,84,2837,Don't know,"(80, 90]","(2500, 3000]"
0742-NXBGR,1,Yes,1,71,4278,Competitor had better devices,"(70, 80]","(4000, 4500]"
6110-OHIHY,1,Yes,1,89,4183,Competitor offered higher download speeds,"(80, 90]","(4000, 4500]"
5889-LFOLL,1,Yes,1,77,2659,Competitor offered more data,"(70, 80]","(2500, 3000]"
5708-EVONK,1,Yes,1,73,5989,Don't know,"(70, 80]","(5500, 6000]"
8708-XPXHZ,1,Yes,1,95,5458,Competitor had better devices,"(90, 100]","(5000, 5500]"
0616-ATFGB,1,Yes,1,95,2119,Competitor had better devices,"(90, 100]","(2000, 2500]"
7016-BPGEU,1,Yes,1,81,2796,Competitor offered higher download speeds,"(80, 90]","(2500, 3000]"
6876-ADESB,1,Yes,1,65,3913,Competitor offered higher download speeds,"(60, 70]","(3500, 4000]"
1963-SVUCV,1,Yes,1,78,5774,Competitor offered higher download speeds,"(70, 80]","(5500, 6000]"
0220-EBGCE,1,Yes,1,67,3273,Competitor offered more data,"(60, 70]","(3000, 3500]"
2754-VDLTR,1,Yes,1,69,4922,Competitor offered more data,"(60, 70]","(4500, 5000]"
3190-XFANI,1,Yes,1,82,5585,Competitor offered more data,"(80, 90]","(5500, 6000]"
7551-DACSP,1,Yes,1,99,3878,Competitor made better offer,"(90, 100]","(3500, 4000]"
7235-NXZCP,1,Yes,1,84,5378,Competitor made better offer,"(80, 90]","(5000, 5500]"
0520-FDVVT,1,Yes,1,80,2473,Price too high,"(70, 80]","(2000, 2500]"
1444-VVSGW,1,Yes,1,99,5563,Product dissatisfaction,"(90, 100]","(5500, 6000]"
5712-PTIWW,1,Yes,1,91,3280,Service dissatisfaction,"(90, 100]","(3000, 3500]"
3315-TOTBP,1,Yes,1,74,4938,Lack of self-service on Website,"(70, 80]","(4500, 5000]"
6661-HBGWL,1,Yes,1,79,2984,Network reliability,"(70, 80]","(2500, 3000]"
1518-VOWAV,1,Yes,1,90,5900,Limited range of services,"(80, 90]","(5500, 6000]"
5909-ECHUI,1,Yes,1,71,3065,Lack of affordable download/upload speed,"(70, 80]","(3000, 3500]"
1309-BXVOQ,1,Yes,1,69,3584,Long distance charges,"(60, 70]","(3500, 4000]"
9317-WZPGV,1,Yes,1,77,4038,Extra data charges,"(70, 80]","(4000, 4500]"
2856-HYAPG,1,Yes,1,99,3052,Price too high,"(90, 100]","(3000, 3500]"
4488-PSYCG,1,Yes,1,83,4327,Product dissatisfaction,"(80, 90]","(4000, 4500]"
3621-CEOVK,1,Yes,1,97,3369,Service dissatisfaction,"(90, 100]","(3000, 3500]"
6906-ANDWJ,1,Yes,1,97,2510,Lack of self-service on Website,"(90, 100]","(2500, 3000]"
1031-IIDEO,1,Yes,1,72,2874,Network reliability,"(70, 80]","(2500, 3000]"
5832-XKAES,1,Yes,1,74,2320,Don't know,"(70, 80]","(2000, 2500]"
4701-AHWMW,1,Yes,1,69,6041,Attitude of service provider,"(60, 70]","(6000, 6500]"
9210-IAHGH,1,Yes,1,84,2248,Attitude of support person,"(80, 90]","(2000, 2500]"
0023-XUOPT,1,Yes,1,75,2973,Don't know,"(70, 80]","(2500, 3000]"
4592-IWTJI,1,Yes,1,84,2613,Attitude of support person,"(80, 90]","(2500, 3000]"
7632-MNYOY,1,Yes,1,93,4389,Attitude of service provider,"(90, 100]","(4000, 4500]"
6518-LGAOV,1,Yes,1,92,2341,Attitude of service provider,"(90, 100]","(2000, 2500]"
7242-QZLXF,1,Yes,1,99,5421,Attitude of service provider,"(90, 100]","(5000, 5500]"
4576-CSAJH,1,Yes,1,84,5866,Attitude of support person,"(80, 90]","(5500, 6000]"
1000-AJSLD,1,Yes,1,70,4389,Competitor made better offer,"(60, 70]","(4000, 4500]"
1062-LHZOD,1,Yes,1,84,2100,Moved,"(80, 90]","(2000, 2500]"
9600-NAXZN,1,Yes,1,79,3370,Moved,"(70, 80]","(3000, 3500]"
6457-USBER,1,Yes,1,82,4424,Moved,"(80, 90]","(4000, 4500]"
4662-EKDPQ,1,Yes,1,96,5344,Competitor had better devices,"(90, 100]","(5000, 5500]"
9248-OJYKK,1,Yes,1,95,3763,Competitor offered higher download speeds,"(90, 100]","(3500, 4000]"
3398-FSHON,1,Yes,1,94,4703,Competitor offered more data,"(90, 100]","(4500, 5000]"
3319-DWOEP,1,Yes,1,89,5750,Competitor made better offer,"(80, 90]","(5500, 6000]"
9259-PACGQ,1,Yes,1,91,3918,Competitor had better devices,"(90, 100]","(3500, 4000]"
4415-IJZTP,1,Yes,1,69,2016,Competitor had better devices,"(60, 70]","(2000, 2500]"
1465-VINDH,1,Yes,1,78,3596,Competitor offered higher download speeds,"(70, 80]","(3500, 4000]"
2810-FTLEM,1,Yes,1,69,4254,Competitor offered higher download speeds,"(60, 70]","(4000, 4500]"
1925-TIBLE,1,Yes,1,74,3887,Competitor offered higher download speeds,"(70, 80]","(3500, 4000]"
0818-OCPZO,1,Yes,1,83,2571,Competitor offered more data,"(80, 90]","(2500, 3000]"
1447-GIQMR,1,Yes,1,87,4179,Competitor offered more data,"(80, 90]","(4000, 4500]"
0872-NXJYS,1,Yes,1,81,3246,Competitor offered more data,"(80, 90]","(3000, 3500]"
9412-ARGBX,1,Yes,1,97,2459,Competitor made better offer,"(90, 100]","(2000, 2500]"
1389-CXMLU,1,Yes,1,99,2194,Competitor made better offer,"(90, 100]","(2000, 2500]"
5561-NWEVX,1,Yes,1,67,4225,Price too high,"(60, 70]","(4000, 4500]"
2737-WFVYW,1,Yes,1,74,4566,Product dissatisfaction,"(70, 80]","(4500, 5000]"
2272-QAGFO,1,Yes,1,71,5342,Service dissatisfaction,"(70, 80]","(5000, 5500]"
9850-OWRHQ,1,Yes,1,69,5657,Lack of self-service on Website,"(60, 70]","(5500, 6000]"
3768-NLUBH,1,Yes,1,74,5247,Network reliability,"(70, 80]","(5000, 5500]"
8676-TRMJS,1,Yes,1,88,3190,Limited range of services,"(80, 90]","(3000, 3500]"
7359-SSBJK,1,Yes,1,89,6080,Lack of affordable download/upload speed,"(80, 90]","(6000, 6500]"
0685-MLYYM,1,Yes,1,96,4407,Long distance charges,"(90, 100]","(4000, 4500]"
8182-PNAGI,1,Yes,1,67,3624,Extra data charges,"(60, 70]","(3500, 4000]"
7957-RYHQD,1,Yes,1,94,3207,Price too high,"(90, 100]","(3000, 3500]"
2180-DXNEG,1,Yes,1,89,5239,Product dissatisfaction,"(80, 90]","(5000, 5500]"
5515-AKOAJ,1,Yes,1,75,5763,Service dissatisfaction,"(70, 80]","(5500, 6000]"
8976-OQHGT,1,Yes,1,99,5758,Lack of self-service on Website,"(90, 100]","(5500, 6000]"
6230-BSUXY,1,Yes,1,93,2650,Network reliability,"(90, 100]","(2500, 3000]"
5294-CDGWY,1,Yes,1,95,5633,Don't know,"(90, 100]","(5500, 6000]"
5295-PCJOO,1,Yes,1,84,4455,Don't know,"(80, 90]","(4000, 4500]"
9863-JZAIC,1,Yes,1,100,2220,Don't know,"(90, 100]","(2000, 2500]"
7660-HDPJV,1,Yes,1,81,2637,Poor expertise of online support,"(80, 90]","(2500, 3000]"
7931-PXHFC,1,Yes,1,83,3818,Poor expertise of phone support,"(80, 90]","(3500, 4000]"
3990-QYKBE,1,Yes,1,95,4127,Competitor had better devices,"(90, 100]","(4000, 4500]"
4919-MOAVT,1,Yes,1,84,2421,Competitor offered higher download speeds,"(80, 90]","(2000, 2500]"
3090-HAWSU,1,Yes,1,87,4495,Competitor offered more data,"(80, 90]","(4000, 4500]"
9820-RMCQV,1,Yes,1,92,4444,Competitor made better offer,"(90, 100]","(4000, 4500]"
7839-QRKXN,1,Yes,1,69,4197,Competitor had better devices,"(60, 70]","(4000, 4500]"
5204-QZXPU,1,Yes,1,78,2933,Competitor had better devices,"(70, 80]","(2500, 3000]"
4597-ELFTS,1,Yes,1,92,5327,Competitor offered higher download speeds,"(90, 100]","(5000, 5500]"
8450-JOVAH,1,Yes,1,77,5560,Competitor offered higher download speeds,"(70, 80]","(5500, 6000]"
1113-IUJYX,1,Yes,1,84,5887,Competitor offered higher download speeds,"(80, 90]","(5500, 6000]"
9274-CNFMO,1,Yes,1,69,3716,Competitor offered more data,"(60, 70]","(3500, 4000]"
7758-XKCBS,1,Yes,1,82,5518,Competitor offered more data,"(80, 90]","(5500, 6000]"
8992-JQYUN,1,Yes,1,65,4526,Competitor offered more data,"(60, 70]","(4500, 5000]"
0617-AQNWT,1,Yes,1,66,6347,Competitor made better offer,"(60, 70]","(6000, 6500]"
2446-PLQVO,1,Yes,1,78,4512,Don't know,"(70, 80]","(4500, 5000]"
3005-NFMTA,1,Yes,1,69,5543,Price too high,"(60, 70]","(5500, 6000]"
8784-CGILN,1,Yes,1,100,3068,Product dissatisfaction,"(90, 100]","(3000, 3500]"
5389-FFVKB,1,Yes,1,94,5365,Service dissatisfaction,"(90, 100]","(5000, 5500]"
8444-WRIDW,1,Yes,1,79,5011,Lack of self-service on Website,"(70, 80]","(5000, 5500]"
9451-LPGOO,1,Yes,1,66,3780,Network reliability,"(60, 70]","(3500, 4000]"
5868-YWPDW,1,Yes,1,72,5834,Limited range of services,"(70, 80]","(5500, 6000]"
2025-JKFWI,1,Yes,1,81,3493,Lack of affordable download/upload speed,"(80, 90]","(3000, 3500]"
4078-SAYYN,1,Yes,1,65,2229,Long distance charges,"(60, 70]","(2000, 2500]"
9940-HPQPG,1,Yes,1,91,4176,Extra data charges,"(90, 100]","(4000, 4500]"
6618-RYATB,1,Yes,1,93,5571,Price too high,"(90, 100]","(5500, 6000]"
9079-YEXQJ,1,Yes,1,93,5527,Product dissatisfaction,"(90, 100]","(5500, 6000]"
2685-SREOM,1,Yes,1,96,4793,Service dissatisfaction,"(90, 100]","(4500, 5000]"
0402-CQAJN,1,Yes,1,83,4437,Lack of self-service on Website,"(80, 90]","(4000, 4500]"
6692-UDPJC,1,Yes,1,65,4304,Network reliability,"(60, 70]","(4000, 4500]"
1273-MTETI,1,Yes,1,74,2754,Don't know,"(70, 80]","(2500, 3000]"
5480-HPRRX,1,Yes,1,74,3542,Attitude of support person,"(70, 80]","(3500, 4000]"
0295-PPHDO,1,Yes,1,71,5962,Attitude of support person,"(70, 80]","(5500, 6000]"
1195-OIYEJ,1,Yes,1,78,5347,Attitude of support person,"(70, 80]","(5000, 5500]"
