CustomerID,Count,Gender,Senior Citizen,Partner,Dependents
3488-PGMQJ,1,Male,Yes,No,No
3580-REOAC,1,Male,No,No,No
7534-BFESC,1,Male,Yes,No,No
6390-DSAZX,1,Female,No,No,No
8098-LLAZX,1,Female,Yes,No,No
0265-EDXBD,1,Male,Yes,Yes,No
7563-BIUPC,1,Male,No,No,No
2321-OMBXY,1,Female,No,Yes,No
2840-XANRC,1,Male,Yes,Yes,No
5020-ZSTTY,1,Female,Yes,No,No
5804-LEPIM,1,Female,Yes,No,No
0122-OAHPZ,1,Female,No,No,No
2868-SNELZ,1,Female,No,No,No
4322-RCYMT,1,Male,No,Yes,No
6680-NENYN,1,Female,No,No,No
1343-EHPYB,1,Male,No,Yes,No
2034-GDRCN,1,Female,No,No,No
0219-YTZUE,1,Male,No,Yes,No
0623-IIHUG,1,Female,Yes,No,No
4572-DVCGN,1,Female,No,No,No
9057-MSWCO,1,Male,Yes,Yes,No
1010-DIAUQ,1,Male,No,No,No
0259-GBZSH,1,Male,No,No,No
9601-BRXPO,1,Female,No,Yes,No
6905-NIQIN,1,Male,No,No,No
5167-ZFFMM,1,Male,No,No,No
4895-TMWIR,1,Male,Yes,Yes,No
0533-BNWKF,1,Female,Yes,Yes,No
6599-CEBNN,1,Female,No,No,No
0979-PHULV,1,Male,No,Yes,No
4800-VHZKI,1,Female,No,No,No
7989-CHGTL,1,Male,No,No,No
0334-GDDSO,1,Male,Yes,No,No
0578-SKVMF,1,Female,No,Yes,No
5564-NEMQO,1,Female,Yes,No,No
9063-ZGTUY,1,Female,No,Yes,No
2957-LOLHO,1,Male,No,No,No
7752-XUSCI,1,Female,No,No,No
4110-PFEUZ,1,Female,No,No,No
0256-LTHVJ,1,Female,No,Yes,No
0880-TKATG,1,Male,No,Yes,No
3811-VBYBZ,1,Male,No,No,No
4640-UHDOS,1,Female,No,Yes,No
3583-EKAPL,1,Male,No,No,No
9399-APLBT,1,Female,No,Yes,No
2359-KMGLI,1,Male,No,No,No
0306-JAELE,1,Male,No,No,No
6227-HWPWX,1,Female,No,No,No
0447-BEMNG,1,Female,No,Yes,No
5949-XIKAE,1,Female,No,Yes,No
8372-JUXUI,1,Male,No,No,No
0388-EOPEX,1,Female,No,Yes,No
8205-OTCHB,1,Male,No,No,No
6235-VDHOM,1,Female,Yes,No,No
7783-YKGDV,1,Female,No,No,No
5609-CEBID,1,Female,Yes,No,No
7218-HKQFK,1,Male,No,Yes,No
4636-QRJKY,1,Female,No,Yes,No
5956-VKDTT,1,Female,Yes,Yes,No
9412-GHEEC,1,Male,No,No,No
0257-ZESQC,1,Female,Yes,Yes,No
6825-UYPFK,1,Female,No,No,No
8397-MVTAZ,1,Male,No,Yes,No
9282-IZGQK,1,Female,No,No,No
1342-JPNKI,1,Male,No,No,No
2817-NTQDO,1,Male,No,No,No
6986-IJDHX,1,Male,No,Yes,No
5301-GAUUY,1,Male,No,No,No
0939-YAPAF,1,Female,No,No,No
4710-FDUIZ,1,Male,No,Yes,No
1218-VKFPE,1,Female,No,Yes,No
3627-FHKBK,1,Female,No,No,No
2865-TCHJW,1,Female,Yes,No,No
5192-EBGOV,1,Female,Yes,No,No
0719-SYFRB,1,Female,No,No,No
3419-SNJJD,1,Female,Yes,Yes,No
6543-CPZMK,1,Male,No,Yes,No
4765-OXPPD,1,Female,No,Yes,No
1009-IRMNA,1,Female,No,No,No
4554-YGZIH,1,Male,Yes,Yes,No
5099-BAILX,1,Male,Yes,Yes,No
7207-RMRDB,1,Female,No,Yes,No
4913-EHYUI,1,Male,Yes,Yes,No
0195-IESCP,1,Male,No,Yes,No
4580-TMHJU,1,Female,No,Yes,No
0970-ETWGE,1,Male,No,No,No
1626-ERCMM,1,Male,Yes,Yes,No
0887-HJGAR,1,Male,No,No,No
5644-PDMZC,1,Female,Yes,No,No
9576-ANLXO,1,Female,No,No,No
2024-BASKD,1,Female,No,No,No
4160-AMJTL,1,Female,Yes,No,No
4464-JCOLN,1,Male,No,Yes,No
5650-VDUDS,1,Female,No,No,No
7538-GWHML,1,Female,No,No,No
3859-CVCET,1,Female,No,No,No
3276-HDUEG,1,Female,No,No,No
0823-HSCDJ,1,Male,Yes,No,No
0822-GAVAP,1,Female,No,No,No
1448-PWKYE,1,Male,No,Yes,No
0067-DKWBL,1,Male,Yes,No,No
2276-YDAVZ,1,Female,No,No,No
5896-NPFWW,1,Male,No,Yes,No
7133-VBDCG,1,Female,No,No,No
1029-QFBEN,1,Male,No,No,No
4952-YSOGZ,1,Female,No,Yes,No
1589-AGTLK,1,Male,No,No,No
5244-IRFIH,1,Male,Yes,Yes,No
2684-EIWEO,1,Female,Yes,No,No
6439-GTPCA,1,Female,No,No,No
5138-WVKYJ,1,Male,No,No,No
6683-VLCTZ,1,Male,Yes,No,No
2189-WWOEW,1,Female,No,No,No
1894-IGFSG,1,Female,No,No,No
7379-POKDZ,1,Male,No,Yes,No
0236-HFWSV,1,Male,No,No,No
3900-AQPHZ,1,Female,No,No,No
5842-POCOP,1,Female,No,Yes,No
2037-XJFUP,1,Male,No,Yes,No
7314-OXENN,1,Male,No,No,No
0322-CHQRU,1,Male,No,No,No
4678-DVQEO,1,Female,No,No,No
0691-IFBQW,1,Female,Yes,No,No
3009-JWMPU,1,Male,No,No,No
1450-GALXR,1,Female,No,No,No
3138-BKYAV,1,Male,No,No,No
4289-DTDKW,1,Male,No,Yes,No
1820-TQVEV,1,Male,No,No,No
2239-JALAW,1,Male,No,No,No
4853-RULSV,1,Male,No,No,No
6275-YDUVO,1,Female,No,No,No
0115-TFERT,1,Male,No,Yes,No
2311-QYMUQ,1,Female,No,Yes,No
3643-AHCFP,1,Male,Yes,Yes,No
3104-OWCGK,1,Male,No,Yes,No
9101-BWFSS,1,Female,No,Yes,No
9231-ZJYAM,1,Female,Yes,No,No
6982-SSHFK,1,Male,No,No,No
0727-BMPLR,1,Female,Yes,No,No
1038-ZAGBI,1,Female,No,Yes,No
3027-ZTDHO,1,Male,No,No,No
2382-BCKQJ,1,Female,No,No,No
2207-NHRJK,1,Male,No,No,No
0947-MUGVO,1,Male,Yes,Yes,No
9944-HKVVB,1,Female,No,No,No
4124-MMETB,1,Male,No,No,No
3671-SHRSP,1,Male,No,Yes,No
3313-QKNKB,1,Male,No,Yes,No
5073-WXOYN,1,Female,No,No,No
0207-MDKNV,1,Female,No,No,No
9851-KIELU,1,Male,No,No,No
3908-BLSYF,1,Female,No,No,No
7549-MYGPK,1,Female,No,Yes,No
3804-RVTGV,1,Male,No,Yes,No
9227-LUNBG,1,Female,No,No,No
4315-MURBD,1,Female,No,No,No
9734-YWGEX,1,Female,No,No,No
2719-BDAQO,1,Male,No,No,No
0781-LKXBR,1,Male,Yes,No,No
1907-UBQFC,1,Male,Yes,No,No
6513-EECDB,1,Male,Yes,Yes,No
7074-IEVOJ,1,Female,Yes,No,No
9625-QSTYE,1,Female,No,No,No
4750-ZRXIU,1,Female,Yes,No,No
6400-BWQKW,1,Female,No,No,No
6680-WKXRZ,1,Female,No,No,No
7028-DVOIQ,1,Male,Yes,No,No
4208-UFFGW,1,Male,Yes,No,No
9448-REEVD,1,Male,No,Yes,No
9117-SHLZX,1,Male,No,No,No
9889-TMAHG,1,Male,Yes,No,No
4541-RMRLG,1,Male,No,No,No
3158-MOERK,1,Female,No,No,No
7294-TMAOP,1,Female,No,No,No
8919-FYFQZ,1,Male,Yes,Yes,No
2834-JRTUA,1,Male,No,No,No
5875-YPQFJ,1,Male,No,No,No
6646-QVXLR,1,Male,Yes,Yes,No
8603-IJWDN,1,Male,No,No,No
9369-XFEHK,1,Female,Yes,Yes,No
3842-IYKUE,1,Female,No,No,No
6641-XRPSU,1,Female,No,No,No
1374-DMZUI,1,Female,Yes,No,No
8357-EQXFO,1,Female,No,No,No
1989-PRJHP,1,Male,Yes,Yes,No
9524-EGPJC,1,Female,No,No,No
6993-OHLXR,1,Female,No,No,No
8818-XYFCQ,1,Male,No,Yes,No
4695-VADHF,1,Male,No,Yes,No
3863-IUBJR,1,Male,No,Yes,No
4822-RVYBB,1,Male,Yes,No,No
8436-BJUMM,1,Male,No,Yes,No
4184-TJFAN,1,Female,Yes,Yes,No
4145-UQXUQ,1,Female,Yes,No,No
9948-YPTDG,1,Male,No,Yes,No
1236-WFCDV,1,Male,Yes,No,No
4883-QICIH,1,Male,No,Yes,No
8329-IBCTI,1,Female,No,No,No
1271-SJBGZ,1,Male,Yes,No,No
5669-SRAIP,1,Female,No,No,No
5981-ITEMU,1,Male,No,Yes,No
6941-PMGEP,1,Female,No,No,No
1624-WOIWJ,1,Female,No,No,No
2074-GKOWZ,1,Male,No,Yes,No
0376-YMCJC,1,Male,No,No,No
0634-SZPQA,1,Female,No,No,No
5536-RTPWK,1,Male,No,Yes,No
6166-ILMNY,1,Female,No,No,No
3097-NNSPB,1,Female,No,No,No
0655-RBDUG,1,Male,No,No,No
4361-BKAXE,1,Female,No,No,No
9878-TNQGW,1,Male,No,No,No
4441-NIHPT,1,Female,Yes,No,No
8999-BOHSE,1,Female,Yes,No,No
7029-RPUAV,1,Male,Yes,Yes,No
4607-CHPCA,1,Male,No,Yes,No
8824-RWFXJ,1,Male,No,Yes,No
9763-PDTKK,1,Female,No,No,No
7627-JKIAZ,1,Female,No,Yes,No
4081-DYXAV,1,Female,No,No,No
8111-SLLHI,1,Male,Yes,Yes,No
0927-LCSMG,1,Male,No,No,No
8257-RZAHR,1,Female,No,Yes,No
5293-WXJAK,1,Female,Yes,Yes,No
0841-NULXI,1,Male,No,No,No
7851-WZEKY,1,Female,No,No,No
8844-TONUD,1,Male,No,Yes,No
4086-YQSNZ,1,Female,Yes,Yes,No
5868-CZJDR,1,Male,No,No,No
0135-NMXAP,1,Female,No,No,No
6270-OMFIW,1,Male,No,Yes,No
0107-WESLM,1,Male,No,No,No
3992-YWPKO,1,Female,No,No,No
0125-LZQXK,1,Male,No,No,No
8399-YNDCH,1,Male,Yes,No,No
5673-FSSMF,1,Female,No,No,No
1579-KLYDT,1,Male,No,No,No
3927-NLNRY,1,Male,No,Yes,No
6358-LYNGM,1,Male,No,No,No
5494-HECPR,1,Female,No,No,No
9824-BEMCV,1,Male,No,Yes,No
1373-ORVIZ,1,Female,No,Yes,No
9866-QEVEE,1,Male,No,No,No
9897-KXHCM,1,Female,No,Yes,No
7979-CORPM,1,Male,No,No,No
1618-CFHME,1,Female,No,No,No
3165-HDOEW,1,Male,No,Yes,No
6581-NQCBA,1,Female,No,Yes,No
1689-MRZQR,1,Male,No,Yes,No
5835-BEQEU,1,Male,No,No,No
5565-FILXA,1,Female,Yes,No,No
5552-ZNFSJ,1,Male,No,No,No
2223-KAGMX,1,Female,No,No,No
7321-PKUYW,1,Female,No,No,No
2833-SLKDQ,1,Male,No,No,No
7595-EUIVN,1,Female,No,No,No
2026-TGDHM,1,Female,No,No,No
4030-VPZBD,1,Female,No,No,No
4187-CINZD,1,Female,Yes,No,No
6818-WOBHJ,1,Female,Yes,Yes,No
2408-TZMJL,1,Male,No,Yes,No
9134-CEQMF,1,Male,Yes,Yes,No
7993-PYKOF,1,Male,No,Yes,No
5027-XWQHA,1,Male,No,No,No
4566-QVRRW,1,Female,No,Yes,No
8519-IMDHU,1,Male,Yes,Yes,No
0201-OAMXR,1,Female,No,No,No
3372-KWFBM,1,Male,Yes,No,No
7831-QGOXH,1,Female,No,No,No
6393-WRYZE,1,Female,No,Yes,No
6599-RCLCJ,1,Male,No,Yes,No
9831-BPFRI,1,Female,No,Yes,No
1725-MIMXW,1,Male,No,No,No
0031-PVLZI,1,Female,No,Yes,No
7206-GZCDC,1,Female,Yes,No,No
4791-QRGMF,1,Male,No,Yes,No
1768-ZAIFU,1,Female,Yes,No,No
4671-LXRDQ,1,Male,No,No,No
1934-SJVJK,1,Male,No,No,No
3838-OZURD,1,Male,No,Yes,No
9269-CQOOL,1,Male,No,No,No
2845-HSJCY,1,Female,No,Yes,No
1184-PJVDB,1,Male,No,Yes,No
9415-DPEWS,1,Female,No,No,No
7943-RQCHR,1,Female,No,No,No
3793-MMFUH,1,Female,Yes,No,No
3249-ZPQRG,1,Male,No,No,No
2568-BRGYX,1,Male,No,No,No
7721-JXEAW,1,Male,No,Yes,No
7249-WBIYX,1,Male,No,Yes,No
6567-HOOPW,1,Female,Yes,No,No
3164-AALRN,1,Male,No,No,No
3334-CTHOL,1,Female,No,No,No
4704-ERYFC,1,Female,No,Yes,No
8621-MNIHH,1,Female,Yes,Yes,No
0471-LVHGK,1,Male,No,Yes,No
9518-RWHZL,1,Female,No,No,No
5419-CONWX,1,Female,Yes,No,No
6240-EURKS,1,Female,No,No,No
6960-HVYXR,1,Female,No,No,No
7024-OHCCK,1,Female,Yes,No,No
7861-UVUFT,1,Female,No,Yes,No
5357-TZHPP,1,Male,Yes,No,No
0680-DFNNY,1,Male,No,Yes,No
7767-UXAGJ,1,Male,No,No,No
1571-SAVHK,1,Male,No,No,No
9546-CQJSU,1,Female,No,No,No
0506-LVNGN,1,Female,Yes,No,No
2951-QOQTK,1,Male,No,No,No
3473-XIIIT,1,Female,No,Yes,No
7893-IXHRQ,1,Male,No,No,No
2952-QAYZF,1,Male,No,No,No
4763-PGDPO,1,Female,No,No,No
5394-SVGJV,1,Male,No,No,No
9283-LZQOH,1,Male,No,Yes,No
7079-QRCBC,1,Female,No,No,No
5469-CTCWN,1,Male,No,Yes,No
9851-QXEEQ,1,Male,No,No,No
9809-IMGCQ,1,Male,Yes,No,No
5208-HFSBT,1,Female,No,No,No
3254-YRILK,1,Male,Yes,No,No
2667-WYLWJ,1,Female,No,Yes,No
0529-ONKER,1,Male,Yes,No,No
5240-IJOQT,1,Male,Yes,No,No
1092-GANHU,1,Male,No,No,No
0661-XEYAN,1,Female,Yes,No,No
7881-EVUAD,1,Female,No,No,No
5766-XQXMQ,1,Female,No,No,No
3703-VAVCL,1,Male,No,Yes,No
8519-QJGJD,1,Female,No,No,No
6326-MTTXK,1,Male,No,No,No
0330-IVZHA,1,Female,No,Yes,No
2886-KEFUM,1,Female,No,Yes,No
4237-RLAQD,1,Male,No,No,No
9651-GTSAQ,1,Female,No,Yes,No
3186-BAXNB,1,Female,No,No,No
0637-YLETY,1,Female,No,No,No
1157-BQCUW,1,Male,No,No,No
2660-EMUBI,1,Male,Yes,No,No
7675-OZCZG,1,Female,Yes,No,No
2003-CKLOR,1,Male,No,No,No
9254-RBFON,1,Female,No,Yes,No
1205-WNWPJ,1,Female,No,No,No
9391-EOYLI,1,Male,Yes,Yes,No
8387-MOJJT,1,Female,No,Yes,No
2761-OCIAX,1,Male,Yes,No,No
3068-OMWZA,1,Male,Yes,No,No
6032-KRXXO,1,Male,No,No,No
7459-RRWQZ,1,Female,No,No,No
4154-AQUGT,1,Male,Yes,Yes,No
3092-IGHWF,1,Male,No,Yes,No
8017-LXHFA,1,Female,Yes,No,No
6352-TWCAU,1,Female,No,No,No
2929-QNSRW,1,Female,No,Yes,No
1262-OPMFY,1,Female,No,Yes,No
4248-QPAVC,1,Female,Yes,Yes,No
1899-VXWXM,1,Male,No,No,No
4690-LLKUA,1,Male,Yes,No,No
3331-HQDTW,1,Female,No,No,No
9490-DFPMD,1,Female,Yes,No,No
5442-XSDCW,1,Male,No,Yes,No
3049-NDXFL,1,Female,No,No,No
8580-AECUZ,1,Male,Yes,No,No
7963-GQRMY,1,Female,No,Yes,No
1228-FZFRV,1,Male,No,Yes,No
2058-DCJBE,1,Male,No,No,No
5364-XYIRR,1,Male,No,Yes,No
4829-AUOAX,1,Female,No,No,No
5047-LHVLY,1,Male,Yes,No,No
9158-VCTQB,1,Female,No,Yes,No
6311-UEUME,1,Female,No,No,No
6839-ITVZJ,1,Female,No,Yes,No
0375-HVGXO,1,Female,No,No,No
8593-WHYHV,1,Male,No,No,No
6097-EQISJ,1,Female,No,Yes,No
4423-YLHDV,1,Female,No,Yes,No
0107-YHINA,1,Male,No,No,No
8640-SDGKB,1,Male,No,No,No
4116-TZAQJ,1,Female,No,No,No
3877-JRJIP,1,Male,No,No,No
8375-DKEBR,1,Female,Yes,No,No
7511-YMXVQ,1,Male,No,No,No
7551-JOHTI,1,Female,No,No,No
9804-ICWBG,1,Male,No,No,No
5318-IXUZF,1,Female,No,No,No
3198-VELRD,1,Female,No,Yes,No
9436-ZBZCT,1,Male,No,No,No
7279-BUYWN,1,Female,Yes,No,No
7156-MHUGY,1,Male,Yes,No,No
7198-GLXTC,1,Male,No,No,No
0516-VRYBW,1,Female,No,No,No
8380-PEFPE,1,Male,No,No,No
5687-DKDTV,1,Female,No,No,No
7530-HDYDS,1,Female,No,No,No
3096-IZETN,1,Female,No,No,No
5922-ABDVO,1,Female,No,Yes,No
9172-ANCRX,1,Female,No,No,No
6910-HADCM,1,Female,No,No,No
4816-LXZYW,1,Female,No,No,No
9606-PBKBQ,1,Male,Yes,Yes,No
3536-IQCTX,1,Male,Yes,Yes,No
4911-BANWH,1,Female,No,No,No
8496-EJAUI,1,Male,No,No,No
3132-TVFDZ,1,Male,Yes,Yes,No
8080-DDEMJ,1,Male,Yes,No,No
6365-MTGZX,1,Male,No,No,No
1349-WXNGG,1,Male,No,No,No
6990-YNRIO,1,Male,No,Yes,No
0621-TWIEM,1,Male,No,No,No
2485-ITVKB,1,Female,No,Yes,No
3669-OYSJI,1,Male,No,No,No
1612-EOHDH,1,Female,No,No,No
6702-OHFWR,1,Male,Yes,No,No
4510-PYUSH,1,Female,Yes,No,No
7517-SAWMO,1,Female,No,Yes,No
4143-HHPMK,1,Male,No,No,No
7054-LGEQW,1,Female,No,No,No
0923-PNFUB,1,Female,No,No,No
3494-JCHRQ,1,Male,No,No,No
6474-FVJLC,1,Male,No,No,No
8840-DQLGN,1,Female,Yes,Yes,No
4547-LYTDD,1,Female,No,No,No
6770-XUAGN,1,Female,No,Yes,No
4193-ORFCL,1,Female,Yes,No,No
7776-QWNFX,1,Male,Yes,Yes,No
6689-TCZHQ,1,Female,Yes,No,No
3143-ILDAL,1,Male,No,No,No
4720-VSTSI,1,Female,No,No,No
3946-MHCZW,1,Male,No,No,No
6651-AZVTJ,1,Male,No,Yes,No
4566-GOLUK,1,Male,No,Yes,No
2484-DGXPZ,1,Female,No,Yes,No
4587-NUKOX,1,Female,No,No,No
0420-BWTPW,1,Male,No,No,No
8183-ONMXC,1,Female,No,No,No
9614-RMGHA,1,Male,No,Yes,No
5054-IEXZT,1,Male,No,No,No
5834-ASPWA,1,Male,No,No,No
3948-XHGNA,1,Male,No,No,No
0565-IYCGT,1,Male,No,No,No
5445-UTODQ,1,Female,No,Yes,No
1024-VRZHF,1,Male,No,Yes,No
9497-QCMMS,1,Male,Yes,No,No
0348-SDKOL,1,Female,No,Yes,No
4373-MAVJG,1,Female,No,Yes,No
8901-HJXTF,1,Female,No,Yes,No
5419-KLXBN,1,Female,No,Yes,No
3424-NMNBO,1,Male,Yes,Yes,No
4514-GFCFI,1,Female,Yes,No,No
9828-AOQLM,1,Female,No,Yes,No
8000-REIQB,1,Female,Yes,No,No
7615-ESMYF,1,Female,No,Yes,No
3858-VOBET,1,Male,No,No,No
1447-PJGGA,1,Female,No,No,No
8565-CLBZW,1,Male,No,No,No
9139-WQQDY,1,Female,No,Yes,No
0224-HJAPT,1,Male,No,No,No
8086-OVPWV,1,Male,No,No,No
9430-FRQOC,1,Female,No,No,No
3074-GQWYX,1,Male,No,No,No
6845-RGTYS,1,Female,No,Yes,No
8861-HGGKB,1,Female,No,No,No
7065-YUNRY,1,Female,No,No,No
7694-VLBWQ,1,Male,No,Yes,No
4795-KTRTH,1,Female,Yes,Yes,No
6481-OGDOO,1,Male,No,Yes,No
3753-TSEMP,1,Female,No,Yes,No
8305-VHZBZ,1,Male,No,No,No
9172-JITSM,1,Female,No,Yes,No
6298-QDFNH,1,Male,No,No,No
9961-JBNMK,1,Male,Yes,No,No
6173-ITPWD,1,Male,No,Yes,No
9734-UYXQI,1,Female,No,No,No
2189-UXTKY,1,Female,No,Yes,No
4958-GZWIY,1,Male,No,Yes,No
6356-ELRKD,1,Female,No,No,No
8624-GIOUT,1,Female,No,No,No
6179-GJPSO,1,Female,Yes,No,No
3177-LASXD,1,Female,No,No,No
4897-QSUYC,1,Female,No,No,No
1084-UQCHV,1,Male,No,No,No
8290-YWKHZ,1,Female,Yes,Yes,No
2955-BJZHG,1,Male,No,Yes,No
3806-DXQOM,1,Female,No,No,No
9300-RENDD,1,Male,No,No,No
0761-AETCS,1,Female,No,No,No
2153-MREFK,1,Female,No,Yes,No
3106-ULWFW,1,Female,No,Yes,No
0925-VYDLG,1,Female,No,No,No
4349-GFQHK,1,Male,No,No,No
7802-EFKNY,1,Male,No,Yes,No
8035-BUYVG,1,Male,No,Yes,No
9787-XVQIU,1,Male,No,No,No
8945-MUQUF,1,Male,No,No,No
8051-HJRLT,1,Female,Yes,No,No
3023-GFLBR,1,Female,No,Yes,No
0524-IAVZO,1,Female,No,Yes,No
2737-YNGYW,1,Female,No,No,No
5159-YFPKQ,1,Female,No,No,No
4021-RQSNY,1,Male,Yes,Yes,No
9061-TIHDA,1,Male,Yes,Yes,No
8699-ASUFO,1,Male,Yes,Yes,No
7927-AUXBZ,1,Female,No,No,No
4695-WJZUE,1,Female,Yes,No,No
7619-ODSGN,1,Male,No,Yes,Yes
3988-RQIXO,1,Female,Yes,No,No
2514-GINMM,1,Male,No,No,No
5931-FLJJF,1,Male,Yes,Yes,No
2659-VXMWZ,1,Male,No,Yes,No
3207-OYBWH,1,Male,Yes,Yes,No
4285-GYRQC,1,Female,No,Yes,No
7216-EWTRS,1,Female,Yes,Yes,No
8337-MSSXB,1,Female,No,No,No
8182-BJDSI,1,Female,No,No,No
2528-HFYZX,1,Male,Yes,Yes,No
2482-CZGBB,1,Male,No,No,No
0866-QLSIR,1,Female,No,No,No
7181-BQYBV,1,Female,No,Yes,No
6204-IEUXJ,1,Female,No,No,No
4529-CKBCL,1,Female,No,No,No
2506-CLAKW,1,Female,No,No,No
1583-IHQZE,1,Male,No,No,No
0151-ONTOV,1,Female,No,No,No
4140-MUHUG,1,Female,Yes,No,No
0320-JDNQG,1,Male,No,Yes,No
7180-PISOG,1,Male,No,Yes,No
3571-RFHAR,1,Male,No,No,No
9578-VRMNM,1,Female,No,No,No
1587-FKLZB,1,Male,Yes,Yes,No
6140-QNRQQ,1,Male,No,No,No
4307-KTUMW,1,Male,No,Yes,No
5440-FLBQG,1,Male,Yes,Yes,No
7470-MCQTK,1,Female,No,Yes,No
7488-MXJIV,1,Female,No,No,No
2027-FECZV,1,Male,No,No,No
2672-DZUOY,1,Male,No,No,No
3870-MQAMG,1,Female,No,Yes,No
4800-CZMPC,1,Female,No,Yes,No
7377-DMMRI,1,Male,No,No,No
8949-JTMAY,1,Female,No,No,No
2774-LVQUS,1,Female,Yes,Yes,No
3211-ILJTT,1,Male,No,Yes,No
4612-THJBS,1,Female,Yes,No,No
4094-NSEDU,1,Female,Yes,No,No
5103-MHMHY,1,Female,No,No,Yes
1846-XWOQN,1,Female,Yes,No,No
0235-KGSLC,1,Female,No,No,No
2884-GBPFB,1,Female,No,Yes,No
3757-NJYBX,1,Male,Yes,Yes,No
5136-KCKGI,1,Female,No,Yes,No
3722-WPXTK,1,Male,No,No,No
2929-ERCFZ,1,Female,No,Yes,No
7548-SEPYI,1,Female,No,No,No
8835-VSDSE,1,Female,No,Yes,No
1623-NLDOT,1,Female,No,Yes,No
9898-KZQDZ,1,Female,Yes,Yes,No
5236-PERKL,1,Female,No,No,No
7854-FOKSF,1,Male,No,No,No
2519-FAKOD,1,Male,No,No,No
8263-JQAIK,1,Male,Yes,No,No
7089-IVVAZ,1,Female,No,No,No
2205-YMZZJ,1,Male,Yes,No,No
1254-IZEYF,1,Female,Yes,No,No
9492-TOKRI,1,Female,No,No,No
9221-OTIVJ,1,Female,Yes,No,No
3325-FUYCG,1,Male,No,Yes,No
5908-QMGOE,1,Male,Yes,No,No
8481-YYXWG,1,Female,No,No,No
2609-IAICY,1,Female,No,No,No
1740-CSDJP,1,Male,No,No,No
2636-OHFMN,1,Male,No,Yes,No
1323-OOEPC,1,Female,No,Yes,No
0397-GZBBC,1,Male,Yes,Yes,No
7641-EUYET,1,Male,Yes,Yes,No
9921-ZVRHG,1,Female,No,No,No
4701-MLJPN,1,Male,No,No,No
9206-GVPEQ,1,Male,No,Yes,No
1596-BBVTG,1,Male,No,No,No
8433-WXGNA,1,Male,No,No,No
