ID,Zip Code,Population
271,94931,4283
272,94933,11718
273,94939,8684
274,94940,4115
275,94945,6618
276,94946,9031
277,94947,8129
278,94949,6819
279,94960,7636
280,94965,4720
281,94971,11389
282,94972,8972
283,95002,5100
284,95006,11253
285,95017,7503
286,95019,2944
287,95020,4127
288,95030,14689
289,95046,6971
290,95062,4582
291,95112,4378
292,95116,8593
293,95125,9179
294,95128,14437
295,95129,10056
296,95134,9991
297,95135,2797
298,95209,3703
299,95219,2309
300,95220,5470
301,95232,13630
302,95236,6708
303,95240,4589
304,95252,8217
305,95255,10786
306,95301,3271
307,95305,4172
308,95310,10989
309,95315,3212
310,95323,6057
311,95335,9491
312,95338,7067
313,95346,13596
314,95350,12861
315,95351,8576
316,95356,12230
317,95357,10902
318,95361,5242
319,95367,3900
320,95368,3937
321,95369,14461
322,95382,14194
323,95387,6788
324,95389,3331
325,95407,3972
326,95409,4093
327,95417,10418
328,95420,10410
329,95422,8158
330,95425,3860
331,95427,5910
332,95431,7827
333,95439,9880
334,95445,6928
335,95464,11747
336,95471,7178
337,95482,14888
338,95493,3367
339,95511,9993
340,95519,8604
341,95524,3611
342,95525,5557
343,95526,9373
344,95531,3875
345,95536,8590
346,95545,12809
347,95550,13008
348,95551,14748
349,95553,6401
350,95562,14093
351,95563,12047
352,95567,6510
353,95568,7071
354,95570,2088
355,95589,13667
356,95601,13491
357,95608,54000
358,95616,8565
359,95618,7875
360,95619,14365
361,95620,9110
362,95624,61000
363,95625,7404
364,95630,79000
365,95635,8252
366,95642,5557
367,95645,6095
368,95653,5924
369,95662,8010
370,95663,4116
371,95668,12090
372,95669,4741
373,95673,2121
374,95681,10639
375,95683,4089
376,95692,7015
377,95694,11101
378,95713,10231
379,95722,5034
380,95728,14169
381,95742,5548
382,95815,7588
383,95824,14606
384,95826,13770
385,95828,63000
386,95831,14777
387,95838,12496
388,95843,45000
389,95864,13754
390,95912,5479
391,95914,5895
392,95923,6807
393,95925,3686
394,95935,9421
395,95937,2082
396,95942,11823
397,95949,3650
398,95954,14108
399,95959,3933
400,95966,21000
401,95970,7145
402,95981,14851
403,95984,12818
404,95993,12623
405,96007,12000
406,96011,6022
407,96014,4597
408,96021,14860
409,96022,6284
410,96024,7239
411,96028,3153
412,96032,4853
413,96041,13200
414,96047,12473
415,96050,9863
416,96051,9804
417,96052,13317
418,96068,14676
419,96073,2446
420,96084,11451
421,96086,13299
422,96087,6726
423,96092,5439
424,96101,3044
425,96108,9243
426,96112,2704
427,96115,10030
428,96116,3010
429,96122,3300
430,96123,9375
431,96133,2124
432,96141,5534
433,96142,8294
434,96145,11633
435,96150,30000
436,96161,18500
437,90004,13608
438,90007,7468
439,90012,2451
440,90013,3601
441,90014,7246
442,90020,7762
443,90023,12775
444,90025,14799
445,90037,8384
446,90045,8656
447,90047,10906
448,90058,7563
449,90059,5389
450,90062,13270
451,90066,3140
452,90230,13807
453,90250,3017
454,90254,7988
455,90262,12483
456,90265,10709
457,90272,14715
458,90277,2196
459,90292,7341
460,90303,6201
461,90620,3339
462,90621,3324
463,90623,13364
464,90680,14487
465,90704,7582
466,90706,6679
467,90712,12400
468,90717,2314
469,90740,5149
470,90745,3048
471,90808,7690
472,90810,7068
473,90813,2242
474,91030,14135
475,91040,4859
476,91042,2607
477,91202,2949
478,91204,6907
479,91206,3878
480,91207,10350
481,91301,7955
482,91321,8724
483,91325,4059
484,91326,8485
485,91331,10096
486,91335,3171
487,91342,2602
488,91344,8191
489,91345,3473
490,91351,14737
491,91361,11863
492,91411,11915
493,91423,12182
494,91502,12418
495,91601,2673
496,91605,12248
497,91606,10026
498,91710,12856
499,91711,13059
500,91732,12382
501,91754,4624
502,91761,13269
503,91768,2375
504,91770,11738
505,91773,11169
506,91789,3581
507,91910,5043
508,91915,4551
509,91917,8696
510,91934,9280
511,91935,12522
512,92003,2015
513,92007,6190
514,92014,13021
515,92024,9076
516,92026,12950
517,92037,4398
518,92056,10076
519,92057,4526
520,92060,9083
521,92061,10708
522,92065,5912
523,92069,8450
524,92071,12873
525,92082,7163
526,92083,3871
527,92101,13922
528,92102,9401
529,92103,2621
530,92104,11768
531,92105,11591
532,92106,8264
533,92108,3694
534,92110,9524
535,92115,13616
536,92117,9979
537,92118,4206
538,92122,3390
539,92129,7085
540,92139,10585
541,92154,8624
542,92211,5025
543,92220,6923
544,92239,9392
545,92249,14837
546,92250,13192
547,92253,4081
548,92258,9253
549,92270,10651
550,92273,10376
551,92277,3437
552,92281,14082
553,92304,11117
554,92305,7066
555,92307,13990
556,92308,10671
557,92309,4085
558,92321,2859
559,92324,5448
560,92333,14827
561,92337,13951
562,92338,5706
563,92359,9807
564,92374,2383
565,92382,8583
566,92386,2761
567,92389,14281
568,92397,8966
569,92408,5168
570,92539,2441
571,92543,9997
572,92551,11050
573,92555,7700
574,92563,11587
575,92567,7478
576,92586,9479
577,92606,3989
578,92610,4248
579,92625,14225
580,92629,6788
581,92655,14597
582,92657,8146
583,92661,5837
584,92662,8209
585,92663,4510
586,92679,8764
587,92705,4894
588,92706,2534
589,92804,2213
590,92843,4870
591,92845,5325
592,92886,9381
593,93001,8633
594,93003,13454
595,93010,13817
596,93021,14314
597,93022,4169
598,93035,2975
599,93040,11966
600,93060,10066
601,93067,6159
602,93101,11889
603,93103,14798
604,93108,13233
605,93110,9389
606,93201,4394
607,93202,12666
608,93205,11509
609,93206,9099
610,93208,12616
611,93215,10706
612,93221,9443
613,93251,10066
614,93252,5578
615,93268,5480
616,93270,12632
617,93272,12524
618,93402,10618
619,93426,12694
620,93427,13884
621,93442,10257
622,93444,7847
623,93465,14910
624,93512,14646
625,93526,3166
626,93527,14464
627,93528,13514
628,93534,8645
629,93541,4319
630,93553,13433
631,93560,5904
632,93561,4292
633,93591,6971
634,93608,14972
635,93612,9486
636,93615,14232
637,93618,14452
638,93621,13552
639,93624,10521
640,93625,14517
641,93628,10905
642,93643,6691
643,93644,11369
644,93647,14941
645,93651,2754
646,93665,6134
647,93668,5476
648,93673,11545
649,93702,12810
650,93706,7193
651,93711,9094
652,93906,13512
653,93924,12294
654,93928,7526
655,93932,7462
656,93933,6931
657,93954,14992
658,94005,6377
659,94010,7240
660,94014,3955
661,94015,4991
662,94027,9098
663,94043,11003
664,94105,6540
665,94109,5547
666,94110,14854
667,94114,4087
668,94117,8145
669,94122,14978
670,94123,14017
671,94129,3071
672,94130,12898
673,94402,10918
674,94520,7401
675,94521,7293
676,94523,3033
677,94525,9424
678,94526,10042
679,94533,10770
680,94535,11612
681,94538,5764
682,94539,4781
683,94542,13316
684,94556,11300
685,94559,13302
686,94563,6446
687,94567,11499
688,94568,4935
689,94572,3512
690,94574,14487
691,94576,2090
692,94586,7967
693,94589,11922
694,94590,8109
695,94601,8330
696,94608,4627
697,94609,11398
698,94618,12235
699,94703,13317
700,94705,7685
701,94708,4823
702,94709,6430
703,94803,11655
704,94805,12255
705,94901,3844
706,94937,9458
707,94940,6656
708,94941,5158
709,94945,10905
710,94949,4491
711,94965,3829
712,94970,4565
713,95004,9482
714,95006,2422
715,95030,14025
716,95032,9157
717,95039,5231
718,95045,10895
719,95054,2796
720,95060,4521
721,95065,11635
722,95110,13738
723,95120,14863
724,95121,11816
725,95126,5518
726,95127,5383
727,95130,14361
728,95131,12302
729,95135,4167
730,95202,5232
731,95207,14308
732,95210,12837
733,95212,7282
734,95222,5399
735,95224,10317
736,95233,12398
737,95240,8377
738,95246,12929
739,95250,2666
740,95251,9918
741,95303,11752
742,95306,11911
743,95315,14368
744,95323,5058
745,95348,13199
746,95350,10785
747,95360,6702
748,95363,13876
749,95365,7203
750,95367,6377
751,95369,10409
752,95372,6277
753,95386,3699
754,95387,12426
755,95389,8317
756,95401,7082
757,95404,9722
758,95405,11297
759,95417,5027
760,95423,10381
761,95427,6712
762,95428,10444
763,95431,7152
764,95446,11469
765,95448,3327
766,95450,8138
767,95466,3598
768,95468,6785
769,95488,14093
770,95497,8491
771,95501,6379
772,95503,14113
773,95524,14538
774,95526,7239
775,95531,3730
776,95543,12619
777,95547,8407
778,95548,10718
779,95567,12466
780,95587,11527
781,95601,9223
782,95605,6882
783,95606,14091
784,95608,54000
785,95610,10727
786,95623,4206
787,95626,2745
788,95633,12875
789,95635,14561
790,95636,4942
791,95637,9910
792,95638,12477
793,95641,2859
794,95651,14409
795,95655,3649
796,95658,6435
797,95659,12038
798,95662,8442
799,95664,8736
800,95665,12674
801,95670,51000
802,95674,3524
803,95678,42000
804,95686,5356
805,95695,9140
806,95703,2257
807,95709,5389
808,95714,11673
809,95721,11257
810,95726,13647
811,95736,14961
812,95746,9683
813,95814,12000
814,95818,8023
815,95819,18000
816,95827,12509
817,95831,6028
818,95835,41000
819,95838,11424
820,95903,4673
821,95920,4027
822,95922,13242
823,95925,14723
824,95926,40000
825,95930,4919
826,95932,10247
827,95936,12033
828,95937,12328
829,95949,10698
830,95950,10128
831,95968,5347
832,95971,4051
833,95975,14713
834,95982,6756
835,95984,13476
836,95988,7664
837,96006,12199
838,96009,11744
839,96013,6414
840,96023,5237
841,96032,12855
842,96041,9375
843,96050,4377
844,96063,4896
845,96064,8020
846,96069,7041
847,96071,10353
848,96074,8414
849,96080,26000
850,96093,2021
851,96096,12909
852,96103,14973
853,96109,5771
854,96110,14704
855,96112,4424
856,96115,13488
857,96125,10083
858,96126,14795
859,96137,12487
860,96148,10263
861,96150,30000
862,96161,18500
863,90007,6551
864,90016,13644
865,90017,12315
866,90020,12418
867,90023,13889
868,90024,7110
869,90028,8763
870,90031,14637
871,90033,2184
872,90037,5842
873,90039,12511
874,90043,10927
875,90048,10262
876,90049,13081
877,90056,7585
878,90057,4241
879,90062,13860
880,90063,7125
881,90066,14968
882,90068,6595
883,90071,10301
884,90221,2905
885,90230,9688
886,90232,10068
887,90248,10822
888,90254,11417
889,90255,9672
890,90260,6851
891,90302,14143
892,90403,6785
893,90405,10483
894,90501,12295
895,90505,11781
896,90621,8223
897,90623,13859
898,90631,13542
899,90640,2622
900,90670,14837
901,90712,8626
902,90713,6894
903,90742,2442
904,90804,2194
905,90807,11394
906,90814,4133
907,91007,5962
908,91030,7409
909,91105,12238
910,91203,9318
911,91208,7724
912,91303,10361
913,91304,6533
914,91311,9157
915,91316,9895
916,91355,9019
917,91356,11834
918,91381,14567
919,91384,12830
920,91401,10600
921,91402,6988
922,91403,7474
923,91423,14379
924,91501,8640
925,91601,6240
926,91607,5504
927,91711,6876
928,91722,9044
929,91731,13759
930,91741,6000
931,91744,9266
932,91748,10502
933,91752,8154
934,91767,5957
935,91773,10119
936,91789,7270
937,91790,9083
938,91803,2497
939,91901,4006
940,91902,9686
941,91906,13762
942,91910,7671
943,91915,5019
944,91931,11061
945,91942,6091
946,91948,14934
947,91978,11184
948,92003,2900
949,92009,14355
950,92028,14291
951,92029,5477
952,92057,6812
953,92059,5215
954,92061,14010
955,92084,4748
956,92108,5512
957,92113,12391
958,92118,4867
959,92119,6875
960,92120,4186
961,92121,9269
962,92127,2960
963,92128,12443
964,92129,9945
965,92130,5445
966,92173,7724
967,92201,13987
968,92210,2923
969,92211,5247
970,92227,5767
971,92231,4681
972,92239,13542
973,92241,3748
974,92258,12040
975,92262,13672
976,92270,6681
977,92276,9135
978,92277,3366
979,92278,14364
980,92282,9861
981,92307,8310
982,92314,10038
983,92316,2811
984,92320,6005
985,92325,11887
986,92336,13873
987,92337,13277
988,92341,2893
989,92347,9047
990,92356,3891
991,92365,7204
992,92368,6941
993,92371,2267
994,92373,11290
995,92382,9317
996,92394,14556
997,92397,8623
998,92401,4808
999,92405,7753
1000,92408,12729
1001,92503,7047
1002,92506,2138
1003,92508,3825
1004,92518,13366
1005,92532,4420
1006,92539,9204
1007,92555,13894
1008,92570,13210
1009,92590,3151
1010,92591,11640
1011,92592,10796
1012,92602,7394
1013,92610,8373
1014,92620,5759
1015,92625,5347
1016,92626,5701
1017,92627,3397
1018,92647,10534
1019,92676,6676
1020,92688,2073
1021,92694,14520
1022,92705,5225
1023,92707,3540
1024,92780,10646
1025,92808,9151
1026,92821,11949
1027,92831,14624
1028,92869,2960
1029,92870,2867
1030,92882,3873
1031,92883,12568
1032,93010,5343
1033,93012,7392
1034,93013,8358
1035,93023,2659
1036,93030,8430
1037,93040,9991
1038,93066,10157
1039,93110,13790
1040,93201,6619
1041,93204,10074
1042,93205,3547
1043,93210,7475
1044,93218,4813
1045,93222,10425
1046,93224,5032
1047,93234,11485
1048,93245,8975
1049,93251,12345
1050,93252,2199
1051,93257,4744
1052,93262,5031
1053,93267,3224
1054,93272,6541
1055,93277,12178
1056,93280,8935
1057,93287,13373
1058,93306,14850
1059,93401,12570
1060,93427,9980
1061,93429,5847
1062,93434,4429
1063,93437,5376
1064,93465,7326
1065,93516,2977
1066,93523,4501
1067,93527,7044
1068,93528,7338
1069,93531,14008
1070,93532,3310
1071,93535,11716
1072,93550,14465
1073,93551,9964
1074,93555,7899
1075,93562,3479
1076,93563,5785
1077,93591,14926
1078,93601,9910
1079,93605,4032
1080,93606,8591
1081,93618,5934
1082,93627,12738
1083,93631,9998
1084,93648,9543
1085,93657,6480
1086,93664,12159
1087,93665,9104
1088,93675,9503
1089,93702,2887
1090,93705,13930
1091,93711,3646
1092,93722,5097
1093,93901,12202
1094,93933,2416
1095,93950,2197
1096,93955,2449
1097,94014,2451
1098,94019,7699
1099,94021,8176
1100,94027,11895
1101,94030,6617
1102,94062,9619
1103,94104,8690
1104,94105,4465
1105,94107,12211
1106,94108,5715
1107,94123,9653
1108,94127,5010
1109,94130,6031
1110,94132,4734
1111,94304,4391
1112,94401,7652
1113,94402,11339
1114,94514,8179
1115,94515,2254
1116,94519,6303
1117,94520,4010
1118,94525,2866
1119,94533,14774
1120,94535,13649
1121,94539,13111
1122,94544,10004
1123,94545,2678
1124,94549,5052
1125,94564,9206
1126,94565,7352
1127,94567,8473
1128,94569,14075
1129,94571,10900
1130,94576,6705
1131,94590,4181
1132,94596,10187
1133,94601,14017
1134,94602,9996
1135,94611,14673
1136,94619,6109
1137,94703,14796
1138,94704,4969
1139,94806,11838
1140,94903,11181
1141,94924,14274
1142,94925,4431
1143,94931,8789
1144,94956,9830
1145,94960,9319
1146,95006,4998
1147,95010,11496
1148,95014,10710
1149,95032,5257
1150,95035,7049
1151,95037,10343
1152,95050,9556
1153,95060,4816
1154,95110,14648
1155,95116,2151
1156,95117,6639
1157,95123,6812
1158,95127,2848
1159,95202,3078
1160,95204,12664
1161,95206,8311
1162,95209,2112
1163,95212,10674
1164,95220,7230
1165,95223,11800
1166,95226,4680
1167,95227,14688
1168,95231,11345
1169,95232,6513
1170,95233,9864
1171,95237,5777
1172,95242,10422
1173,95247,6668
1174,95254,8691
1175,95301,12801
1176,95305,14341
1177,95313,4860
1178,95322,4544
1179,95326,9047
1180,95329,6000
1181,95330,8941
1182,95338,4769
1183,95348,11066
1184,95355,5314
1185,95356,6913
1186,95358,9592
1187,95364,2851
1188,95367,12095
1189,95372,7778
1190,95374,6854
1191,95380,5254
1192,95382,12461
1193,95385,10500
1194,95386,10881
1195,95388,8940
1196,95403,12616
1197,95405,7077
1198,95409,9549
1199,95423,5863
1200,95426,7204
1201,95431,12582
1202,95432,4700
1203,95442,13059
1204,95460,8770
1205,95470,6587
1206,95476,5524
1207,95519,4444
1208,95525,3437
1209,95537,8854
1210,95546,6161
1211,95553,3858
1212,95554,8864
1213,95562,7705
1214,95564,7009
1215,95567,10800
1216,95570,14818
1217,95595,12085
1218,95602,10740
1219,95612,7117
1220,95616,9299
1221,95618,8702
1222,95626,2626
1223,95628,4992
1224,95630,79000
1225,95632,2996
1226,95633,11265
1227,95636,13220
1228,95637,13854
1229,95639,13114
1230,95642,3822
1231,95650,8434
1232,95661,32000
1233,95666,14196
1234,95669,12841
1235,95686,12760
1236,95688,11485
1237,95690,12004
1238,95692,4326
1239,95715,9926
1240,95722,10041
1241,95728,10390
1242,95758,11975
1243,95776,14803
1244,95815,8863
1245,95817,12362
1246,95821,31000
1247,95823,78000
1248,95828,63000
1249,95835,41000
1250,95838,14737
1251,95842,9667
1252,95918,4771
1253,95923,8293
1254,95928,36000
1255,95934,12725
1256,95939,4496
1257,95950,14102
1258,95951,7862
1259,95953,5548
1260,95955,7396
1261,95956,14310
1262,95961,6284
1263,95966,21000
1264,95970,7904
1265,95971,13035
1266,95984,12767
1267,95987,14840
1268,95993,14051
1269,96007,12000
1270,96008,8051
1271,96011,13702
1272,96017,9770
1273,96024,10016
1274,96032,6636
1275,96039,9553
1276,96040,2718
1277,96041,6508
1278,96052,9698
1279,96064,7905
1280,96071,5048
1281,96073,13823
1282,96074,8226
1283,96075,6994
1284,96080,26000
1285,96088,10888
1286,96091,3470
1287,96093,5918
1288,96110,5710
1289,96115,2828
1290,96125,6216
1291,96130,17000
1292,96132,13649
1293,96137,11637
1294,96140,13549
1295,96142,13742
1296,96143,14401
1297,96150,30000
1298,96161,18500
1299,90001,9716
1300,90004,13723
1301,90005,2759
1302,90010,2290
1303,90011,14102
1304,90013,5447
1305,90020,9220
1306,90024,3080
1307,90027,2786
1308,90028,12367
1309,90029,11469
1310,90038,10644
1311,90041,8970
1312,90042,10964
1313,90044,12366
1314,90048,8226
1315,90056,9691
1316,90058,6041
1317,90059,5652
1318,90071,10142
1319,90221,4389
1320,90240,9919
1321,90245,14566
1322,90255,10790
1323,90260,6324
1324,90263,9683
1325,90272,4051
1326,90290,9436
1327,90291,5117
1328,90402,12924
1329,90405,14105
1330,90501,10687
1331,90502,10997
1332,90602,8007
1333,90603,14599
1334,90623,14522
1335,90703,12384
1336,90712,9627
1337,90713,12544
1338,90732,8475
1339,90740,11786
1340,90742,8170
1341,90802,5076
1342,90808,8849
1343,90810,3796
1344,90822,5730
1345,91010,8957
1346,91020,4799
1347,91030,5876
1348,91042,2154
1349,91104,4201
1350,91105,14294
1351,91107,10151
1352,91108,14330
1353,91324,6740
1354,91351,14159
1355,91355,12850
1356,91367,14388
1357,91384,11679
1358,91402,2609
1359,91411,12269
1360,91501,8953
1361,91605,12018
1362,91702,13325
1363,91731,3948
1364,91737,8889
1365,91739,6516
1366,91744,14460
1367,91745,9285
1368,91746,12920
1369,91767,6649
1370,91770,13469
1371,91775,2996
1372,91801,10738
1373,91905,2901
1374,91906,10851
1375,91914,9105
1376,91932,3829
1377,91934,6023
1378,91935,3366
1379,92004,3437
1380,92008,5403
1381,92019,4766
1382,92021,11433
1383,92028,13239
1384,92036,14564
1385,92040,7355
1386,92056,11982
1387,92071,2415
1388,92075,8980
1389,92078,4759
1390,92091,12920
1391,92105,9949
1392,92106,14312
1393,92109,10400
1394,92111,3339
1395,92121,6462
1396,92124,2635
1397,92126,5998
1398,92129,13082
1399,92130,7808
1400,92210,11258
1401,92211,13264
1402,92225,9936
1403,92236,14736
1404,92251,3840
1405,92252,4783
1406,92257,5664
1407,92262,4531
1408,92267,5081
1409,92273,5958
1410,92274,2600
1411,92280,3745
1412,92281,7747
1413,92283,3906
1414,92285,6670
1415,92305,7191
1416,92308,2915
1417,92311,2295
1418,92314,14477
1419,92316,4438
1420,92338,9128
1421,92341,5687
1422,92346,6407
1423,92365,2694
1424,92374,12740
1425,92377,6272
1426,92384,13966
1427,92397,14653
1428,92398,6139
1429,92399,12361
1430,92404,4742
1431,92411,11043
1432,92505,11825
1433,92509,4263
1434,92530,4327
1435,92536,11820
1436,92548,3328
1437,92557,2775
1438,92582,9175
1439,92583,10002
1440,92590,10430
1441,92591,8411
1442,92592,2422
1443,92620,13542
1444,92624,5003
1445,92625,6112
1446,92627,8207
1447,92629,13095
1448,92630,6741
1449,92648,2557
1450,92651,4226
1451,92660,5916
1452,92676,2982
1453,92679,7479
1454,92692,6454
1455,92805,10035
1456,92807,8507
1457,92821,10466
1458,92823,2145
1459,92833,5920
1460,92841,8887
1461,92844,8788
1462,92865,14012
1463,92868,4047
1464,92887,6115
1465,93010,8550
1466,93021,9940
1467,93030,4785
1468,93040,13767
1469,93060,14572
1470,93065,11485
1471,93066,14419
1472,93067,9833
1473,93105,4653
1474,93108,3232
1475,93110,6734
1476,93204,10263
1477,93206,6324
1478,93207,11494
1479,93212,11689
1480,93221,3223
1481,93223,2574
1482,93224,5786
1483,93235,14455
1484,93243,13720
1485,93244,3355
1486,93252,7780
1487,93254,5307
1488,93255,2254
1489,93261,4647
1490,93263,7726
1491,93266,6965
1492,93268,7107
1493,93272,14982
1494,93274,13934
1495,93277,14967
1496,93287,10235
1497,93292,8352
1498,93312,8733
1499,93401,12802
1500,93426,9299
1501,93436,6006
1502,93437,12292
1503,93440,6504
1504,93444,10810
1505,93445,5518
1506,93449,6191
1507,93463,7647
1508,93465,2039
1509,93501,4314
1510,93513,5827
1511,93518,2301
1512,93528,5882
1513,93531,2409
1514,93532,9369
1515,93536,12322
1516,93545,4812
1517,93549,4124
1518,93553,13673
1519,93603,9560
1520,93606,8334
1521,93612,13308
1522,93618,14396
1523,93628,5785
1524,93638,4123
1525,93656,13214
1526,93662,3200
1527,93664,5303
1528,93668,14774
1529,93702,10624
1530,93711,14788
1531,93720,3957
1532,93726,10053
1533,93901,11022
1534,93908,8096
1535,93921,6097
1536,93925,6458
1537,93927,5928
1538,93954,12267
1539,93955,3219
1540,94010,6051
1541,94014,2813
1542,94028,9939
1543,94040,13444
1544,94061,7695
1545,94063,7972
1546,94080,14725
1547,94089,6838
1548,94104,5104
1549,94112,4670
1550,94114,12695
1551,94115,9027
1552,94117,14624
1553,94121,4222
1554,94122,10832
1555,94127,12603
1556,94132,12773
1557,94303,14086
1558,94306,4651
1559,94403,4242
1560,94508,11010
1561,94509,2790
1562,94514,6828
1563,94517,4067
1564,94521,13139
1565,94553,2295
1566,94555,5666
1567,94556,14281
1568,94558,6957
1569,94561,3505
1570,94567,7700
1571,94568,6764
1572,94569,13691
1573,94572,9163
1574,94574,2283
1575,94587,12774
1576,94588,14345
1577,94601,13681
1578,94602,3448
1579,94603,8489
1580,94608,3530
1581,94611,6309
1582,94706,12526
1583,94801,7879
1584,94804,12077
1585,94805,3076
1586,94901,8098
1587,94928,11066
1588,94939,6688
1589,94945,5139
1590,94950,6277
1591,94965,4541
1592,94973,6727
1593,95003,10995
1594,95005,2524
1595,95006,11600
1596,95008,13773
1597,95014,3518
1598,95017,5695
1599,95018,8246
1600,95023,7041
1601,95037,3370
1602,95050,13135
1603,95076,10914
1604,95111,7538
1605,95113,3923
1606,95121,12765
1607,95127,6826
1608,95129,3091
1609,95132,6437
1610,95135,3423
1611,95136,8199
1612,95139,6446
1613,95209,4338
1614,95220,6302
1615,95222,8298
1616,95250,4522
1617,95251,2056
1618,95258,12758
1619,95310,9637
1620,95315,2302
1621,95316,9037
1622,95321,14222
1623,95326,8989
1624,95327,10163
1625,95330,10412
1626,95334,6600
1627,95350,11199
1628,95354,9202
1629,95355,6889
1630,95358,9458
1631,95361,9874
1632,95364,3672
1633,95365,2129
1634,95367,3232
1635,95379,6789
1636,95385,13016
1637,95401,12753
1638,95404,11844
1639,95407,13654
1640,95412,9586
1641,95420,13845
1642,95422,12661
1643,95427,5118
1644,95431,3766
1645,95439,10614
1646,95444,11521
1647,95449,7921
1648,95453,3922
1649,95454,10816
1650,95458,3265
1651,95460,5728
1652,95463,6657
1653,95464,8658
1654,95494,14635
1655,95497,11209
1656,95526,4754
1657,95527,4913
1658,95542,12133
1659,95547,2789
1660,95553,14213
1661,95558,2826
1662,95560,12562
1663,95562,9656
